,DHd 2016,DHd 2017,DHd 2018,DHd 2019,DHd 2020,DHd 2022,DHd 2023,Mean
Schools,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
außeruniversitäre Lehre,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
ocropy,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
portal,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
virtualmachine,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Graph,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Extraktion,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
neo4j,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Autor*innenbibliotheken,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Metasuche,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
filmwissenschaften,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Literary Mapping,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Titelfiguren,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
digitale Vermittlungsformate,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
museale Forschung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
vernetzte Systeme,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Museumsdokumentationssystem,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
spatial cognition,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
text analysis,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
map annotation,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Wissenschaftsblogs,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Deep Maps,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
scalable viewing,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Georektifizierung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Leaflet,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Literatur der frühen Neuzeit,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
historische Netzwerkanalyse,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Gephi,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Entscheidungsprozess,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Notizbücher,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Natural Interaction,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Informationsvermittlung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Kuratierung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Edirom,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
MongoDB,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
kulturwissenschaftliche Datenbank,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Organisationsform,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Polygone,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
RestAPI,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Notizbuch,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Ideengenese,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Motion Capture,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Gestik,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
gesprochene Sprache,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
multimodale Kommunikation,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
maschinelle Sprachverarbeitung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Annotationssystem,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
graphische Narrative,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Integration,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Romanistik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Metadatenextraktion,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
TEI-P5 XML Edition und Transformation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Lexikalische Arbeit,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Suchmaschinen Programmierung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
NLP-Ähnlichkeitssuche,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
WEB-Programmierung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
git Projektmanagement,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Nationale Forschungsdateninfrastruktur,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Datenzetren,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Tracking,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Outreach,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Pasticcio,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Textwissenschaft,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Markup,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Persistenz,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Archäologie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Kommunikation von Forschungsmethoden,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Dependenzparsing,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Peter Handke,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Multilingualität,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
rechtliche Rahmenbedingungen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
räumliches Verhalten,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Neuronales Netz,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Buchgeschichte,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
WebAnno,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
EXMARaLDA,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
ISO/TEI,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Räumliche Interaktionen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Soziale Interaktionen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Besucherforschung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Interaktionsraum,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
imagepreprocessing,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Architektur,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Geoanalyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Sommeruniversität,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Nutzerorientierung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Wissenschaftsethik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Songtexte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Lyrics,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
stylo,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Kollokationen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Objektklassifizierung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Granularität,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Textressourcen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Sprachwissenschaft,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Film &amp; Video,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
ODD,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Schemaspezifikation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
digitale Editionsrichtlinien,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
MEI,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Self-Tracking,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
historische Datenerfassung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
RESTful API,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Psychologiegeschichte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Zeitschriftenforschung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
IT-Regulation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Ethik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Datenschutzrecht,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Lautstärke,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Bewertungsanalyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Historische Texte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Guidelineentwicklung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Graphendaten,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Mittelalter,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Jüdische Studien,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Visual Studies,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
niedrigschwellige Dissemination,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Kartenspiel,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Lerntypen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Discovery,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Arbeitspraktiken,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Nachwuchs,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digital Medievalist,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digitale Mediävistik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
(Audio-)Narratologie,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Deutsche Prosaliteratur,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digitale Philologie,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Emanzipation der Frau,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
performative kulturelle Objekte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Ontologies,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Mittelalterliche Manuskripte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Politischer Diskurs,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Named Entities,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Soziale Netzwerkanalyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Diskursnetzwerke,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Projektvorstellung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Social Reading,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Web 2.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Leser,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Literaturkritik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Metaphernidentifikation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Rechtspopulismus,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Metadata,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Emotionsanalyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Theorie des Digitalen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Methodenreflexion,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
World Café,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digitale Werkverzeichnisse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Semantisches Publizieren,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
arthistoricum.net,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Music Information Retrieval,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Wissen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
events,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Kulturvergleich,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Computational Folkloristics,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
hdbscan,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Databases,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Conversion,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Discovering,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Gathering,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Briefkorpus,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Hugo Schuchardt,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Evaluierung von Tools,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Semantische Datenmodellierung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Bewegungsanimation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Deutschordensresidenz,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Nutzer*innen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
maschinelle Übersetzung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Quellengattung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
CLARIN,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
VLO,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
CMDI,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
metaphilosophy,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
hps,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
umap,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Gendertheorie,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Heraldik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Automatische Bildanalyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
stylometry,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Automatische Erkennung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Methodendiskussion,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Virtuelle Archive,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Dias,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Filme,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Webpräsentation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
(Retro)Digitalisierung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Druckeditionen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
text similarity,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
subtitles,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
DH Lehraktivitäten,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
historische Textlinguistik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Textsorte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Mehrebenen-Modell,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
quantitative und qualitative Textanalyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
spartenübergreifend,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Weiterentwicklung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Speisekarten,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Coding da Vinci,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
intertextuality,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Genre,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Heftromane,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digitale Dramenanalyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
digitale Musikedition,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Optische Musikerkennung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digitalisierte Zeitungen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
hierarchische Metadaten,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Textualität,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Medialität,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Forschungsprogramm,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Statistische Musikwissenschaft,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Web-Tool,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Distant Hearing,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Ogham,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
räumliche Analyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Semantische Modellierung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Bereinigung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Phänomene,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Erkenntnisinteresse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Positivismus,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
geistiger Gegenstand,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Rudolf Carnap,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Interpretationsspielraum,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
text reuse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digitale Literatur,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Literatur im Netz,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Annotationsbasiertes Storytelling,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Nachlässe,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
LIDO,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
eXist-DB,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Historische Edition,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Oxygen XML Editor,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Bayern,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Zeitgeschichte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Handeln,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Dinge,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Beziehungen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Musicking,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
virtuelle Arbeitsumgebung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
projektbegleitend,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
literary motif,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
motif search,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
motif annotation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
digital corpora,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
search strategies,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Kabbala,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Objektrepositorium,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Multimediale Annotation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Repositories,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Mensuralnotation,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Datenlebenszyklus,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Predictive Modeling,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Tool-Entwicklung,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Varianzanalyse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Textsynopse,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Networking,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digitales Lesen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Prototyping,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Datenkompetenzen,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Orte,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Emigration,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Israel,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
London Charter,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Quellenlage,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Ruine,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
archäologisches Objekt,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Digitale Editorik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
digitale Rechtswissenschaft,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Renaissancemusik,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.1
Forschungsmethodik,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Suchportale,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Alignment,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Shared Task,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Maschinelles Sehen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Convolutional Neural Network,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Prosodieerkennung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Embedding,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
schema.org,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
JSON-LD,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Präsentationsschicht,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Wortliste,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Sprache der Geisteswissenschaften,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Dramenforschung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Neo4j,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
BiLSTM-CRF,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Character Reference detection,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
royal society,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
misspellings,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
ocr,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
historical corpus,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
noisy channel model,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
zerstörte Kunst und Architektur,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Building Information Modelling (BIM),0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Visuelle Stilometrie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Laserscan,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Abstracts,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Onlineportal,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Gazeteer,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
LevenshteinDistanz,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Arabische Schrift,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Schemaliteratur,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Gattungen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Bedarfsanalyse,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Zeichen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Medien,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Standard,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Editionen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Fotogrammetrie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Philologien,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Automatische Übersetzung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
internationale Sichtbarkeit,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
wissenschaftliche Rezeption,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
historische Architektur,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
digitales 3D-Modell,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Mayaschrift,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
automatisierte Zeichenerkennung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Digitale Epigraphie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Tanzwissenschaft,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Objektidentifikation,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
historical linguistics,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Privatsphäre,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Maschinenlernen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Anreicherung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Archivportal,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Mixed Models,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
19th century Fraktur,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
eLearning,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Spanisch,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Stilmotrie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
inhärente Informationen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Barcamp,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
stemmatology,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
ökonomische Experten,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Topic Models,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Transcription,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Layout Analysis,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Toolkit,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
linguistische Annotationen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Erkenntnistheorie,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Softwareprototypen,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Ediarum,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Weimarer Republik,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Metadaten Assessment,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Graphische Sammlung,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
Druckgraphik,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
rooting,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.1
